id,species,altura_aerea_cm,comp_raiz_cm,f_pesofresco,f_pesofresco_peciolo,f_pesofresco_sla,f_pesofresco_peciolo_SLA,t_pesofresco,t_pesofresco_vol,t_pesofresco_casca_vol,t_volume,r_presofresco,r_pesofrescoSRL_sup,pesofresco_SRL_inf,r_pesofresco_vol,r_pesofresco_casca_vol,r_volume,r_pesofresco_bioq,r_reserva,t_pesoseco,r_pesoseco,t_pesoseco_casca_vol,t_pesoseco_vol,r_pesoseco_casca_vol,r_pesoseco_vol,t_pesoenxarcado_casca_vol,t_pesoenxarcado_vol,r_pesoenxarcado_casca_vol,r_pesoenxarcado_vol,f_pesoseco,f_pesoseco_peciolo,f_pesoseco_sla,f_pesoseco_peciolo_SLA,r_pesosecoSRL_sup,pesoseco_SRL_inf,f_areaumida,f_areaumida_pec,r_areaumidasup,f_peso_fresco,f_fresco_peciolo,f_fresco_total,f_peso_seco,f_biomassa,f_seco_peciolo,f_seco_total,SLA,LA,t_peso_fresco,t_peso_seco,t_capac_arm_casca,t_capac_arm_lenho,t_dens,r_peso_fresco,r_peso_seco,r_capac_arm_casca,r_capac_arm_lenho,r_dens,SRA
sp1,algodao,80,90,4.45,1.31,1.72,0.51,5.09,0.15,0.21,0.21,20.64,1.36,0.35,0.2,0.3,0.32,0.35,s,0.81,2.13,0.033,0.041,0.0332,0.047,0.22,0.23,0.2171,0.2697,0.98,0.18,0.32,0.83,0.1,0.11,166.992,NA,50.585,6.17,1.82,7.99,1.3,0.106666667,1.01,2.31,52.185,5566.4,5.45,0.884,5.666666667,4.609756098,0.195238095,23.2,2.4202,5.539156627,4.738297872,0.146875,50.585
sp2,algodao,82,89,9.05,2.43,2.15,0.57,14.8,0.43,0.65,0.45,54.95,0.57,1.68,0.13,0.37,0.12,1.01,s,3.62,10.14,0.165,0.158,0.053,0.027,0.59,0.5,0.2673,0.1344,1.86,0.42,0.5,0.1,0.1,0.13,166.363,NA,60.116,11.2,3,14.2,2.36,0.166666667,0.52,2.88,33.2726,5545.433333,15.88,3.943,2.575757576,2.164556962,0.351111111,58.71,10.45,4.043396226,3.977777778,0.225,60.116
sp3,algodao,65,106,20.99,4.18,2.91,0.63,21.51,0.76,0.79,0.83,144.67,0.57,1.72,0.42,0.44,0.44,1.07,s,4.22,55.17,0.169,0.228,0.047,0.0676,0.74,0.92,0.3536,0.365,4.03,0.66,0.59,0.1,0.069,0.13,170.444,NA,35.573,23.9,4.81,28.71,4.62,0.196666667,0.76,5.38,28.88881356,5681.466667,23.06,4.617,3.378698225,3.035087719,0.274698795,148.89,55.4836,6.523404255,4.399408284,0.153636364,51.55507246
sp4,algodao,94,100,27.08,6.99,4.23,1.15,40.42,1.1,1.31,1.42,145,1.24,3.43,0.23,0.4,0.2,2.45,s,4.49,19.25,0.291,0.369,0.0358,0.0155,1,1.34,0.28,0.1247,4.84,1.01,0.79,0.14,0.19,0.43,242.817,NA,51.838,31.31,8.14,39.45,5.63,0.263333333,1.15,6.78,30.73632911,8093.9,42.83,5.15,2.436426117,2.631436314,0.259859155,152.75,19.9213,6.82122905,7.04516129,0.0775,27.28315789
sp5,algodao,75,90,15.08,3.48,5.27,1.19,14.92,0.73,0.76,0.95,148.5,0.74,1.47,0.84,0.73,0.9,1.87,s,4.33,24.11,0.201,0.276,0.0709,0.1117,0.71,1.04,0.4826,0.7174,2.98,0.55,1.14,0.18,0.13,0.27,345.132,NA,53.008,20.35,4.67,25.02,4.12,0.38,0.73,4.85,30.27473684,11504.4,16.41,4.807,2.532338308,2.768115942,0.290526316,154.15,24.6926,5.806770099,5.42256043,0.124111111,40.77538462
sp6,imbiratanha,60,80,19.6,5.92,5.05,1.38,13.94,1.07,1.45,1.02,99.3,0.94,2.27,0.12,0.2,0.11,2.58,s,2.78,16.22,0.308,0.202,0.022,0.009,0.94,0.95,0.113,0.0427,3.79,0.75,1.18,0.2,0.22,0.27,284.055,NA,27.155,24.65,7.3,31.95,4.97,0.393333333,0.95,5.92,24.07245763,9468.5,16.46,3.29,2.051948052,3.702970297,0.198039216,105.41,16.741,4.136363636,3.744444444,0.081818182,12.34318182
sp7,imbiratanha,43,75,10.3,2.92,6.55,1.11,1.46,1.27,1.46,0.29,81.18,0.83,1.53,0.12,0.22,0.12,1.15,s,1.92,11.62,0.304,0.156,0.018,0.006,1.04,1.1,0.0782,0.0277,1.97,0.36,1.22,0.14,0.16,0.1,287.03,NA,43.56,16.85,4.03,20.88,3.19,0.406666667,0.5,3.69,23.52704918,9567.666667,4.19,2.38,2.421052632,6.051282051,0.537931034,85.03,11.904,3.344444444,3.616666667,0.05,27.225
sp9,imbiratanha,47,68,5.05,1.66,4.21,1.14,8.63,0.64,1.09,0.63,44.72,1.1,0.92,0.26,0.27,0.25,1.06,s,1.64,5.43,0.254,0.108,0.023,0.012,0.94,0.61,0.1064,0.0677,1.17,0.22,0.94,0.16,0.24,0.17,264.77,NA,51.633,9.26,2.8,12.06,2.11,0.313333333,0.38,2.49,28.16702128,8825.666667,10.36,2.002,2.700787402,4.648148148,0.171428571,48.33,5.875,3.626086957,4.641666667,0.048,21.51375
sp10,imbiratanha,28,30.5,0.37,0.11,2.54,0.35,2.26,0.33,0.51,0.34,19.7,0.93,1.33,0.19,0.25,0.19,1.02,s,0.29,3.84,0.113,0.031,0.021,0.009,0.47,0.31,0.1623,0.0829,0.07,0.12,0.36,0.05,0.24,0.1,145.168,NA,92.71,2.91,0.46,3.37,0.43,0.12,0.17,0.6,40.32444444,4838.933333,3.1,0.434,3.159292035,0.9,0.091176471,23.42,4.21,6.728571429,8.211111111,0.047368421,38.62916667
sp11,cumaru,94,41,7.34,0.22,3.07,0.1,18.15,1.36,0.47,1.12,81,1.11,1.42,0.15,0.51,0.24,1.11,s,8.34,25.39,0.134,0.71,0.031,0.051,0.48,1.37,0.28,0.29,2.1,0.07,0.89,0.02,0.27,0.23,242.997,NA,60.73,10.41,0.32,10.73,2.99,0.296666667,0.09,3.08,27.30303371,8099.9,19.98,9.184,2.582089552,0.929577465,0.633928571,85.3,25.972,8.032258065,4.68627451,0.2125,22.49259259
sp12,cumaru,77.5,75,6.97,0.23,2.08,0.07,14.25,0.94,0.47,0.77,58.35,1.39,1.32,0.11,0.16,0.11,1.1,s,6.69,15.59,0.093,0.483,0.018,0.0251,0.41,0.9,0.1192,0.0903,2.08,0.07,0.62,0.02,0.29,0.2,150.709,NA,51.305,9.05,0.3,9.35,2.7,0.206666667,0.09,2.79,24.30790323,5023.633333,15.66,7.266,3.408602151,0.863354037,0.627272727,62.43,16.1231,5.622222222,2.597609562,0.228181818,17.69137931
sp13,cumaru,70,104,8.26,0.17,2.03,0.05,10.18,0.92,0.52,0.79,77.62,1.37,2.35,0.5,0.76,0.44,2.15,n,4.44,16.89,0.118,0.471,0.0485,0.1035,0.43,0.92,0.4743,0.402,2.02,0.05,0.52,0.02,0.33,0.33,153.291,NA,29.903,10.29,0.22,10.51,2.54,0.173333333,0.07,2.61,29.47903846,5109.7,11.62,5.029,2.644067797,0.95329087,0.596202532,84.75,17.702,8.779381443,2.884057971,0.235227273,9.061515152
