"x" "y" "compositions" "richness" "plots" "color" "facilitation" "MimTen" "HanImp" "AspPyr" "ComLep" "PipSti" "AmbCea" "CynFle" "CombLep" "LibFer" "BauChe" "PoiGar" "PseMar" "CocVit" "ZizJoa" "AnaCol" "SebMac" "cresc.altura"
"52" -36.96382711 -5.538495416 22 1 52 "white" 0.101 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.574804329648071
"53" -36.96369176 -5.538494951 7 2 53 "red" 0.1585 0.5 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0.229618050546882
"54" -36.96355642 -5.538494485 34 4 54 "yellow" 0.0615 0 0 0 0 0.25 0.25 0.25 0.25 0 0 0 0 0 0 0 0 0.342179616101356
"55" -36.96342108 -5.53849402 46 2 55 "red" 0.0245 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0.5 0 0 0.152262410062073
"56" -36.96328573 -5.538493554 33 1 56 "white" 0.058 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0.0580543563765694
"57" -36.96317334 -5.538380158 41 2 57 "red" 0.0265 0 0 0 0 0 0 0 0 0 0.5 0 0.5 0 0 0 0 -0.438792065547174
"58" -36.96328604 -5.538403147 1 0 58 "orange" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA
"59" -36.96342139 -5.538403613 36 8 59 "blue" 0.03825 0 0 0 0 0.125 0.125 0.125 0.125 0.125 0 0.125 0.125 0.125 0 0 0 -0.270399005143493
"60" -36.96355673 -5.538404078 45 1 60 "white" -0.009 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0.43923925271559
"61" -36.96369207 -5.538404543 41 2 61 "red" 0.0265 0 0 0 0 0 0 0 0 0 0.5 0 0.5 0 0 0 0 -0.158036335888327
"62" -36.96382742 -5.538405009 2 1 62 "white" 0.068 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0.068098403003645
"63" -36.96396276 -5.538405009 1 0 63 "orange" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA
"64" -36.9640981 -5.538405939 35 2 64 "red" 0.059 0 0 0 0 0.5 0 0.5 0 0 0 0 0 0 0 0 0 0.217608106632913
"65" -36.96423345 -5.538406405 11 1 65 "white" -0.001 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0.121399683903781
"66" -36.96423376 -5.538315997 33 1 66 "white" 0.058 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0.0657788254597866
"67" -36.96409841 -5.538315532 38 4 67 "yellow" 0.0515 0 0 0.25 0 0 0 0.25 0 0 0 0.25 0 0 0 0.25 0 0.378081465239484
"68" -36.96396307 -5.538315067 10 4 68 "yellow" 0.04925 0 0.25 0 0 0.25 0 0 0 0 0.25 0 0 0 0.25 0 0 0.249017052939884
"69" -36.96382773 -5.538314602 18 1 69 "white" 0.057 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0.107944737476698
"70" -36.96369238 -5.538314602 1 0 70 "orange" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA
"71" -36.96355704 -5.538313671 32 16 71 "green" 0.0429375 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.18999010452267
"72" -36.9634217 -5.538313205 35 2 72 "red" 0.059 0 0 0 0 0.5 0 0.5 0 0 0 0 0 0 0 0 0 0.242523009749234
"73" -36.96328635 -5.53831274 29 2 73 "red" 0.0335 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0.19041178509745
"74" -36.9631738 -5.538244547 21 2 74 "red" 0.064 0 0 0 0 0 0.5 0.5 0 0 0 0 0 0 0 0 0 0.10210048298761
"75" -36.96342201 -5.538222798 19 4 75 "yellow" 0.048 0.25 0 0 0.25 0 0 0 0 0 0 0 0.25 0.25 0 0 0 0.307836002113253
"76" -36.96355735 -5.538223264 30 4 76 "yellow" 0.11875 0.25 0.25 0.25 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0.145335633005622
"77" -36.96369269 -5.538223729 20 1 77 "white" 0.06 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0.530383501624738
"78" -36.96382804 -5.538224194 29 2 78 "red" 0.0335 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0.139185020688601
"79" -36.96396338 -5.53822466 31 8 79 "blue" 0.090125 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0 0 0 0 0 0 0 0 0.323345761779704
"80" -36.96409872 -5.538225125 30 4 80 "yellow" 0.11875 0.25 0.25 0.25 0.25 0 0 0 0 0 0 0 0 0 0 0 0 0.0215891167304911
"81" -36.96423407 -5.53822559 3 4 81 "yellow" 0.023 0 0 0 0 0 0.25 0 0.25 0.25 0 0 0 0 0 0 0.25 -0.0362999677186749
"82" -36.96436941 -5.538226055 18 1 82 "white" 0.057 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0.229489102549836
"83" -36.96450475 -5.538226521 24 1 83 "white" 0.033 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 -0.0921105235653127
"84" -36.96491109 -5.538137509 1 0 84 "orange" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA
"85" -36.96477575 -5.538137044 26 8 85 "blue" -0.00425 0 0 0 0 0 0 0 0 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125 -0.266878239605658
"86" -36.9646404 -5.538136578 38 4 86 "yellow" 0.0515 0 0 0.25 0 0 0 0.25 0 0 0 0.25 0 0 0 0.25 0 0.462777831224872
"87" -36.96450506 -5.538136113 13 2 87 "red" -0.005 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0.5 0 0 0.202915624161447
"88" -36.96436972 -5.538135648 7 2 88 "red" 0.1585 0.5 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0.274507339574783
"89" -36.96423437 -5.538135183 17 2 89 "red" 0.0535 0 0 0 0 0 0 0 0.5 0 0.5 0 0 0 0 0 0 0.156642706661391
"90" -36.96409903 -5.538134718 22 1 90 "white" 0.101 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.481118346646708
"91" -36.96396369 -5.538134253 16 2 91 "red" 0.064 0 0 0 0 0 0.5 0 0.5 0 0 0 0 0 0 0 0 -0.187076395852605
"92" -36.96382835 -5.538133787 42 2 92 "red" -0.0315 0 0 0 0 0 0 0 0 0 0 0 0.5 0 0 0 0.5 -0.0147066562737351
"93" -36.963693 -5.538133322 40 1 93 "white" 0.006 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 -0.109975111058604
"94" -36.96339984 -5.538109712 3 4 94 "yellow" 0.023 0 0 0 0 0 0.25 0 0.25 0.25 0 0 0 0 0 0 0.25 0.0330725201030423
"95" -36.96320271 -5.538131636 32 16 95 "green" 0.0429375 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.204504929148111
"96" -36.96317457 -5.538018529 27 2 96 "red" 0.0275 0 0 0 0 0 0 0 0 0.5 0 0.5 0 0 0 0 0 0.0575462504025039
"97" -36.96328728 -5.538041519 25 4 97 "yellow" 0.027 0 0 0 0 0 0 0 0 0.25 0.25 0.25 0.25 0 0 0 0 0.0973098162747267
"98" -36.96369331 -5.538042915 33 1 98 "white" 0.058 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0.232141246827833
"99" -36.96382865 -5.53804338 43 1 99 "white" -0.069 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0.0406037489147856
"100" -36.96409934 -5.538044311 28 1 100 "white" 0.13 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.481537163413362
"101" -36.96423468 -5.538044776 8 1 101 "white" 0.047 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0.390432400967107
"102" -36.96448289 -5.538023027 11 1 102 "white" -0.001 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0.0524447144860334
"103" -36.96466335 -5.538023647 15 1 103 "white" 0.06 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 -0.116925016768314
"104" -36.96477606 -5.538046636 20 1 104 "white" 0.06 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0.383847773293958
"105" -36.9649114 -5.538047101 5 1 105 "white" 0.187 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0988175765018863
"106" -36.96504674 -5.538047566 40 1 106 "white" 0.006 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 -0.248539132904501
"107" -36.96502457 -5.53793448 35 2 107 "red" 0.059 0 0 0 0 0.5 0 0.5 0 0 0 0 0 0 0 0 0 0.0873506815454128
"108" -36.96491171 -5.537956694 32 16 108 "green" 0.0429375 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0639378286168527
"109" -36.96477637 -5.537956229 21 2 109 "red" 0.064 0 0 0 0 0 0.5 0.5 0 0 0 0 0 0 0 0 0 0.228838918572807
"110" -36.96437034 -5.537954834 6 2 110 "red" 0.11 0 0 0.5 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0.0989425824702935
"111" -36.96423499 -5.537954369 12 2 111 "red" 0.028 0 0 0 0.5 0 0 0 0 0 0 0 0 0.5 0 0 0 0.136193473936462
"112" -36.96396431 -5.537953438 32 16 112 "green" 0.0429375 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.209913555512158
"113" -36.96382896 -5.537952973 23 2 113 "red" 0.079 0 0.5 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0.306440887470481
"114" -36.96369362 -5.537952508 17 2 114 "red" 0.0535 0 0 0 0 0 0 0 0.5 0 0.5 0 0 0 0 0 0 -0.0293377534335615
"115" -36.96355828 -5.537952042 32 16 115 "green" 0.0429375 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 -0.0904236287528325
"116" -36.96317504 -5.537882918 45 1 116 "white" -0.009 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0.0763200527609458
"117" -36.96326541 -5.537841225 14 4 117 "yellow" -0.0355 0 0 0 0 0 0 0 0 0 0 0 0 0.25 0.25 0.25 0.25 -0.167482357213836
"118" -36.96335564 -5.537841536 1 0 118 "orange" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA
"119" -36.96355859 -5.537861635 16 2 119 "red" 0.064 0 0 0 0 0 0.5 0 0.5 0 0 0 0 0 0 0 0 -0.138166030698803
"120" -36.96369393 -5.5378621 39 2 120 "red" 0.0615 0 0.5 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0.41088784340728
"121" -36.96382927 -5.537862566 25 4 121 "yellow" 0.027 0 0 0 0 0 0 0 0 0.25 0.25 0.25 0.25 0 0 0 0 0.148015357958297
"122" -36.96396462 -5.537863031 46 2 122 "red" 0.0245 0 0 0 0 0.5 0 0 0 0 0 0 0 0 0.5 0 0 0.213040584666514
"123" -36.96409996 -5.537863496 37 1 123 "white" 0.022 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0.162551938498516
"124" -36.9642353 -5.537863961 23 2 124 "red" 0.079 0 0.5 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0.398906298342431
"125" -36.96437065 -5.537864427 26 8 125 "blue" -0.00425 0 0 0 0 0 0 0 0 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.125 0.132582950365588
"126" -36.96450599 -5.537864892 24 1 126 "white" 0.033 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 -0.057920569043654
"127" -36.96477668 -5.537865822 10 4 127 "yellow" 0.04925 0 0.25 0 0 0.25 0 0 0 0 0.25 0 0 0 0.25 0 0 0.293236204062045
"128" -36.96491202 -5.537866287 37 1 128 "white" 0.022 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0.501609831084513
"129" -36.96491233 -5.53777588 24 1 129 "white" 0.033 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 -0.0445593877387036
"130" -36.96437096 -5.537774019 32 16 130 "green" 0.0429375 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.1692227954102
"131" -36.96423561 -5.537773554 7 2 131 "red" 0.1585 0.5 0 0.5 0 0 0 0 0 0 0 0 0 0 0 0 0 0.508036185789914
"132" -36.96410027 -5.537773089 34 4 132 "yellow" 0.0615 0 0 0 0 0.25 0.25 0.25 0.25 0 0 0 0 0 0 0 0 0.374651167332035
"133" -36.96396493 -5.537772624 21 2 133 "red" 0.064 0 0 0 0 0 0.5 0.5 0 0 0 0 0 0 0 0 0 0.81144457942357
"134" -36.96382958 -5.537772159 8 1 134 "white" 0.047 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0.164005108517788
"135" -36.96369424 -5.537771693 19 4 135 "yellow" 0.048 0.25 0 0 0.25 0 0 0 0 0 0 0 0.25 0.25 0 0 0 0.359277838442605
"136" -36.9635589 -5.537771228 9 8 136 "blue" 0.047625 0.125 0.125 0.125 0.125 0 0 0 0 0 0.125 0 0 0 0.125 0.125 0.125 0.369309169914495
"137" -36.96369455 -5.537681286 34 4 137 "yellow" 0.0615 0 0 0 0 0.25 0.25 0.25 0.25 0 0 0 0 0 0 0 0 -0.185480573956804
"138" -36.96382989 -5.537681751 3 4 138 "yellow" 0.023 0 0 0 0 0 0.25 0 0.25 0.25 0 0 0 0 0 0 0.25 0.0621898831989627
"139" -36.96396524 -5.537681751 16 2 139 "red" 0.064 0 0 0 0 0 0.5 0 0.5 0 0 0 0 0 0 0 0 -0.118375493136956
"140" -36.96410058 -5.537682682 28 1 140 "white" 0.13 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.614700337670028
"141" -36.96450661 -5.537684077 27 2 141 "red" 0.0275 0 0 0 0 0 0 0 0 0.5 0 0.5 0 0 0 0 0 0.17954300903209
"142" -36.96464195 -5.537684542 39 2 142 "red" 0.0615 0 0.5 0 0 0 0 0 0 0 0 0.5 0 0 0 0 0 0.383918880831339
"143" -36.96491264 -5.537685472 6 2 143 "red" 0.11 0 0 0.5 0 0 0 0 0 0.5 0 0 0 0 0 0 0 0.0722620149140302
"144" -36.96489047 -5.537572386 43 1 144 "white" -0.069 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 -0.0312490740853163
"145" -36.96464226 -5.537594135 41 2 145 "red" 0.0265 0 0 0 0 0 0 0 0 0 0.5 0 0.5 0 0 0 0 -0.515081968456442
"146" -36.96434894 -5.537615729 25 4 146 "yellow" 0.027 0 0 0 0 0 0 0 0 0.25 0.25 0.25 0.25 0 0 0 0 -0.0201672865460134
"147" -36.96423623 -5.53759274 5 1 147 "white" 0.187 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0.291948919622978
"148" -36.96410089 -5.537592275 1 0 148 "orange" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 NA
"149" -36.96396555 -5.537591809 32 16 149 "green" 0.0429375 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.00139610604919588
"150" -36.96423654 -5.537502333 44 2 150 "red" -0.066 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0.5 0.0518451681258273
"151" -36.96437188 -5.537502798 36 8 151 "blue" 0.03825 0 0 0 0 0.125 0.125 0.125 0.125 0.125 0 0.125 0.125 0.125 0 0 0 -0.00414889826781904
"152" -36.96450723 -5.537503263 43 1 152 "white" -0.069 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 -0.0785624839450008
"153" -36.96464257 -5.537503728 32 16 153 "green" 0.0429375 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.0625 0.208947170437543
"154" -36.96477791 -5.537504193 18 1 154 "white" 0.057 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0.109511509260459
"155" -36.96459776 -5.537413166 44 2 155 "red" -0.066 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.5 0.5 0.0267873863096922
