plot,div,comp,cresc.biomassa,SLA,altura_aerea_cm,t_dens,t_capac_arm_casca,r_capac_arm_casca,comp_raiz_cm,r_dens,SRA,dist_lag_m
19,16,ccc,73.28075163,22.7813125,81.46,0.6171875,2.6480625,3.5781875,94.6975,0.5039375,21.88425,835.23
20,1,b,5.708571429,18.175,147.3,0.816,1.842,1.877,108.6,0.797,18.821,#N/A
21,1,f,2.411154546,12.367,40.46,0.588,2.539,3.769,93.4,0.527,27.714,#N/A
22,8,bbe,39.58366671,22.230125,79.8875,0.6645,2.73275,3.374875,97.6575,0.56025,19.911625,825.53
23,1,i,5.442000003,14.661,76.3,0.722,2.166,4.377,101.6,0.544,16.307,#N/A
24,2,aa,21.04832,32.551,70.4,0.4205,3.7395,4.366,95.35,0.3175,33.1135,799.54
25,16,ccc,28.90507835,22.7813125,81.46,0.6171875,2.6480625,3.5781875,94.6975,0.5039375,21.88425,802.8
26,1,l,252.6280219,20.073,100,0.856,2.459,2.387,107.4,0.445,23.76,#N/A
27,4,aad,5.290028988,15.34325,80.215,0.73825,2.25625,2.7655,98.525,0.69025,21.161,788.02
28,8,bbe,38.75782462,22.230125,79.8875,0.6645,2.73275,3.374875,97.6575,0.56025,19.911625,784.21
29,16,ccc,4.294793943,22.7813125,81.46,0.6171875,2.6480625,3.5781875,94.6975,0.5039375,21.88425,766.3
30,1,d,2.484615385,14.617,82.2,0.727,2.072,1.874,98.8,0.734,13.931,#N/A
31,1,p,3.947600014,16.214,50.9,0.822,2.572,3.542,93.3,0.703,24.178,#N/A
32,4,aab,36.14575,25.878,95.625,0.577,3.177,3.538,98.35,0.51025,25.876,782.11
33,2,ff,28.29416,19.205,120.85,0.7335,2.6145,2.71,101.35,0.703,18.6385,786.25
34,2,gg,7.285623191,14.639,79.25,0.7245,2.119,3.1255,100.2,0.639,15.119,795.88
36,2,hh,8.039615387,18.0495,63.3,0.859,2.262,2.517,92.35,0.6875,17.9895,786.41
37,2,ii,58.68990909,24.453,70.4,0.4405,3.0005,3.979,79.6,0.333,20.485,786.59
38,1,j,42.55411111,30.03,61.6,0.567,4.161,2.985,95.7,0.49,20.164,#N/A
39,16,ccc,60.58709607,22.7813125,81.46,0.6171875,2.6480625,3.5781875,94.6975,0.5039375,21.88425,770.81
40,4,aah,69.88043761,19.9425,71.925,0.659,2.50175,4.0025,95.615,0.48,21.7015,766.82
41,1,g,0.6232,28.671,46.4,0.23,2.614,4.415,65.1,0.057,22.514,#N/A
42,2,ii,1.53375,24.453,70.4,0.4405,3.0005,3.979,79.6,0.333,20.485,748.65
43,2,ee,11.60666668,31.947,69.85,0.255,3.064,5.7255,87.58,0.1865,34.312,752.81
44,1,n,20.09084615,19.651,65.6,0.625,2.723,2.687,97.3,0.643,29.644,#N/A
45,2,jj,12.86373335,21.7415,68.4,0.479,2.488,5.0405,90.88,0.386,19.434,759.79
46,8,bbc,22.30388029,23.3325,83.0325,0.569875,2.563375,3.7815,91.7375,0.447625,23.856875,765.82
47,1,b,33.78384615,18.175,147.3,0.816,1.842,1.877,108.6,0.797,18.821,#N/A
48,4,aac,72.14951122,28.1595,71.525,0.399,2.80025,4.56325,86.915,0.21875,28.7245,775.24
49,8,bbd,7.500133334,24.5395,79.3625,0.600875,2.726375,3.064625,93.6375,0.52125,20.8495,770.68
50,16,ccc,22.10625387,22.7813125,81.46,0.6171875,2.6480625,3.5781875,94.6975,0.5039375,21.88425,764.47
51,2,kk,38.99829631,24.641,56.85,0.6355,2.594,2.6355,98.85,0.6545,22.345,760.07
52,1,i,17.77720001,14.661,76.3,0.722,2.166,4.377,101.6,0.544,16.307,#N/A
53,2,ll,111.8832729,18.1435,75.45,0.839,2.5155,2.9645,100.35,0.574,23.969,749.28
54,4,aaf,39.10607446,22.10375,95.19,0.608,2.63775,4.181,95.9,0.49325,24.1365,744.84
55,2,dd,35.43630764,29.4665,127.3,0.596,3.3475,2.9885,107.8,0.5245,21.6025,742.77
56,1,k,2.133515148,28.903,193,0.625,2.534,2.992,119.9,0.559,23.041,#N/A
57,2,mm,1.92248485,29.151,47.25,0.438,2.5395,3.4995,82.75,0.3615,18.78,717.55
59,8,bbc,5.490111111,23.3325,83.0325,0.569875,2.563375,3.7815,91.7375,0.447625,23.856875,731.12
60,1,j,6.498125,30.03,61.6,0.567,4.161,2.985,95.7,0.49,20.164,#N/A
61,2,mm,2.599200001,29.151,47.25,0.438,2.5395,3.4995,82.75,0.3615,18.78,739.84
62,1,e,-1.6331,27.494,81.7,0.594,2.755,7.276,73,0.244,16.147,#N/A
64,2,nn,38.75459764,20.635,116.73,0.6065,2.5365,3.3805,106.65,0.543,25.3775,755.22
65,1,a,11.033,35.072,79.2,0.274,3.318,5.747,95,0.145,46.063,#N/A
66,1,k,34.56187174,28.903,193,0.625,2.534,2.992,119.9,0.559,23.041,#N/A
67,4,aad,-2.667663332,15.34325,80.215,0.73825,2.25625,2.7655,98.525,0.69025,21.161,744.22
68,4,aai,9.993586214,25.80625,94.75,0.64,2.8315,3.2345,104.4,0.56475,18.6395,739.61
69,1,h,12.07269568,28.822,60.5,0.236,2.81,5.704,80.16,0.228,22.561,#N/A
71,16,ccc,39.68984622,22.7813125,81.46,0.6171875,2.6480625,3.5781875,94.6975,0.5039375,21.88425,724.9
72,2,nn,10.86190554,20.635,116.73,0.6065,2.5365,3.3805,106.65,0.543,25.3775,720.04
73,2,bb,71.11192603,19.124,123.65,0.836,2.1505,2.132,108,0.621,21.2905,716.19
74,2,oo,6.0768,19.9305,61.08,0.591,2.647,5.5225,83.2,0.3855,21.9305,703.92
75,4,aac,19.69421336,28.1595,71.525,0.399,2.80025,4.56325,86.915,0.21875,28.7245,709.5
76,4,aah,63.64617555,19.9425,71.925,0.659,2.50175,4.0025,95.615,0.48,21.7015,711.9
77,1,f,0.633,12.367,40.46,0.588,2.539,3.769,93.4,0.527,27.714,#N/A
78,2,bb,65.2702858,19.124,123.65,0.836,2.1505,2.132,108,0.621,21.2905,723.33
79,8,bbf,36.41634854,21.023125,83.5575,0.6335,2.56975,4.09175,95.7575,0.486625,22.919,729.44
80,4,aah,47.03923085,19.9425,71.925,0.659,2.50175,4.0025,95.615,0.48,21.7015,734.41
81,4,aae,12.96681765,21.81625,79.35,0.6915,2.70425,3.7495,88.95,0.542,19.012,739.56
82,1,h,-0.503492065,28.822,60.5,0.236,2.81,5.704,80.16,0.228,22.561,#N/A
83,1,m,1.754181818,19.885,75.7,0.896,1.952,1.492,91.4,0.672,11.801,#N/A
85,8,bbd,5.541541669,24.5395,79.3625,0.600875,2.726375,3.064625,93.6375,0.52125,20.8495,749.17
86,4,aad,5.579350001,15.34325,80.215,0.73825,2.25625,2.7655,98.525,0.69025,21.161,744.76
87,2,aa,5.0823,32.551,70.4,0.4205,3.7395,4.366,95.35,0.3175,33.1135,738.48
88,2,ll,75.36066679,18.1435,75.45,0.839,2.5155,2.9645,100.35,0.574,23.969,734.37
89,2,kk,21.5092174,24.641,56.85,0.6355,2.594,2.6355,98.85,0.6545,22.345,728.09
90,1,i,11.55585186,14.661,76.3,0.722,2.166,4.377,101.6,0.544,16.307,#N/A
91,2,pp,7.8988125,23.5725,73.65,0.6095,2.739,4.9815,85.15,0.4435,22.8955,718.87
92,2,ii,-1.569217391,24.453,70.4,0.4405,3.0005,3.979,79.6,0.333,20.485,713.76
93,1,g,0.792666667,28.671,46.4,0.23,2.614,4.415,65.1,0.057,22.514,#N/A
94,4,aae,4.392727273,21.81625,79.35,0.6915,2.70425,3.7495,88.95,0.542,19.012,694.5
95,16,ccc,4.611429632,22.7813125,81.46,0.6171875,2.6480625,3.5781875,94.6975,0.5039375,21.88425,691.71
96,2,cc,1.802625,17.251,78.95,0.8115,2.012,1.683,95.1,0.703,12.866,678.55
97,4,aag,0.277722223,23.201,63.1,0.62475,2.27575,2.59125,88.925,0.53225,15.823,685.78
98,1,k,11.08364443,28.903,193,0.625,2.534,2.992,119.9,0.559,23.041,#N/A
99,1,c,20.69721739,20.235,94.4,0.651,3.387,3.543,94.1,0.609,18.456,#N/A
100,1,l,170.2814851,20.073,100,0.856,2.459,2.387,107.4,0.445,23.76,#N/A
101,1,o,15.59627453,29.631,48.1,0.646,2.465,2.584,100.4,0.666,15.046,#N/A
102,1,a,0.953333333,35.072,79.2,0.274,3.318,5.747,95,0.145,46.063,#N/A
103,1,n,-0.3614,19.651,65.6,0.625,2.723,2.687,97.3,0.643,29.644,#N/A
104,1,f,1.681971429,12.367,40.46,0.588,2.539,3.769,93.4,0.527,27.714,#N/A
105,1,p,0.110444445,16.214,50.9,0.822,2.572,3.542,93.3,0.703,24.178,#N/A
106,1,g,-0.255111111,28.671,46.4,0.23,2.614,4.415,65.1,0.057,22.514,#N/A
107,2,nn,-0.086113889,20.635,116.73,0.6065,2.5365,3.3805,106.65,0.543,25.3775,738.22
108,16,ccc,21.16770136,22.7813125,81.46,0.6171875,2.6480625,3.5781875,94.6975,0.5039375,21.88425,734.08
109,2,oo,1.809566667,19.9305,61.08,0.591,2.647,5.5225,83.2,0.3855,21.9305,728.1
110,2,hh,3.933461541,18.0495,63.3,0.859,2.262,2.517,92.35,0.6875,17.9895,710.94
111,2,ee,6.819492076,31.947,69.85,0.255,3.064,5.7255,87.58,0.1865,34.312,707.84
112,16,ccc,21.75651519,22.7813125,81.46,0.6171875,2.6480625,3.5781875,94.6975,0.5039375,21.88425,697.64
113,2,jj,3.894484851,21.7415,68.4,0.479,2.488,5.0405,90.88,0.386,19.434,693.03
114,2,kk,2.800727275,24.641,56.85,0.6355,2.594,2.6355,98.85,0.6545,22.345,687.48
115,16,ccc,-2.603492309,22.7813125,81.46,0.6171875,2.6480625,3.5781875,94.6975,0.5039375,21.88425,682.87
116,1,j,18.204,30.03,61.6,0.567,4.161,2.985,95.7,0.49,20.164,#N/A
117,4,aab,0.840153846,25.878,95.625,0.577,3.177,3.538,98.35,0.51025,25.876,661.75
119,2,pp,1.7792,23.5725,73.65,0.6095,2.739,4.9815,85.15,0.4435,22.8955,678.08
120,2,gg,3.496200002,14.639,79.25,0.7245,2.119,3.1255,100.2,0.639,15.119,672.38
121,4,aag,6.432144929,23.201,63.1,0.62475,2.27575,2.59125,88.925,0.53225,15.823,683.65
122,2,dd,8.613843129,29.4665,127.3,0.596,3.3475,2.9885,107.8,0.5245,21.6025,687.38
123,1,d,12.6616,14.617,82.2,0.727,2.072,1.874,98.8,0.734,13.931,#N/A
124,2,jj,1.329578943,21.7415,68.4,0.479,2.488,5.0405,90.88,0.386,19.434,697.89
125,8,bbd,12.72292593,24.5395,79.3625,0.600875,2.726375,3.064625,93.6375,0.52125,20.8495,703.17
126,1,m,-0.081357143,19.885,75.7,0.896,1.952,1.492,91.4,0.672,11.801,#N/A
127,4,aai,11.17475,25.80625,94.75,0.64,2.8315,3.2345,104.4,0.56475,18.6395,718.02
128,1,d,2.936363636,14.617,82.2,0.727,2.072,1.874,98.8,0.734,13.931,#N/A
129,1,m,1.253857143,19.885,75.7,0.896,1.952,1.492,91.4,0.672,11.801,#N/A
130,16,ccc,1.343433338,22.7813125,81.46,0.6171875,2.6480625,3.5781875,94.6975,0.5039375,21.88425,693.67
131,2,ll,47.07033341,18.1435,75.45,0.839,2.5155,2.9645,100.35,0.574,23.969,688.99
132,4,aaf,15.00659072,22.10375,95.19,0.608,2.63775,4.181,95.9,0.49325,24.1365,681.77
133,2,oo,2.45604,19.9305,61.08,0.591,2.647,5.5225,83.2,0.3855,21.9305,678.05
134,1,o,6.581666675,29.631,48.1,0.646,2.465,2.584,100.4,0.666,15.046,#N/A
135,4,aac,36.70470594,28.1595,71.525,0.399,2.80025,4.56325,86.915,0.21875,28.7245,667.97
136,8,bbe,6.488615391,23.0686875,79.7125,0.6535,2.7260625,3.315,98.10125,0.5579375,19.340875,662.57
137,4,aaf,-1.84044242,22.10375,95.19,0.608,2.63775,4.181,95.9,0.49325,24.1365,657.23
138,4,aae,3.611894737,21.81625,79.35,0.6915,2.70425,3.7495,88.95,0.542,19.012,662.12
139,2,pp,3.516081818,23.5725,73.65,0.6095,2.739,4.9815,85.15,0.4435,22.8955,668.03
140,1,l,147.2056391,20.073,100,0.856,2.459,2.387,107.4,0.445,23.76,#N/A
141,2,cc,0.265428571,17.251,78.95,0.8115,2.012,1.683,95.1,0.703,12.866,687.03
142,2,gg,7.858666668,14.639,79.25,0.7245,2.119,3.1255,100.2,0.639,15.119,693.66
143,2,hh,1.135333336,18.0495,63.3,0.859,2.262,2.517,92.35,0.6875,17.9895,704.35
144,1,c,-4.864181818,20.235,94.4,0.651,3.387,3.543,94.1,0.609,18.456,#N/A
145,2,mm,1.226333335,29.151,47.25,0.438,2.5395,3.4995,82.75,0.3615,18.78,682
146,4,aag,3.169809526,23.201,63.1,0.62475,2.27575,2.59125,88.925,0.53225,15.823,660.62
147,1,p,-0.899333337,16.214,50.9,0.822,2.572,3.542,93.3,0.703,24.178,#N/A
149,16,ccc,7.045866661,22.7813125,81.46,0.6171875,2.6480625,3.5781875,94.6975,0.5039375,21.88425,656.62
150,2,ff,-1.448181818,19.205,120.85,0.7335,2.6145,2.71,101.35,0.703,18.6385,656.82
151,8,bbc,2.079235295,23.3325,83.0325,0.569875,2.563375,3.7815,91.7375,0.447625,23.856875,661.88
152,1,c,-0.124,20.235,94.4,0.651,3.387,3.543,94.1,0.609,18.456,#N/A
153,16,ccc,7.614291681,22.7813125,81.46,0.6171875,2.6480625,3.5781875,94.6975,0.5039375,21.88425,670.77
154,1,h,-3.72390477,28.822,60.5,0.236,2.81,5.704,80.16,0.228,22.561,#N/A
155,2,ff,-2.067066667,19.205,120.85,0.7335,2.6145,2.71,101.35,0.703,18.6385,658.03
