plot,algodao,angico,burra,cating,cumaru,feijao,imbira,imburana,ipe,joazeiro,ju_branca,ju_preta,juca,mofumbu,mororo,pereiro
103,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
104,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
106,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
116,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
123,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
126,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
128,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
129,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
140,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
144,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
152,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
154,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
