"","plot","div","cresc.altura_mean","cresc.nfol_mean","cresc.LA_mean","cresc.biomassa_mean","cresc.altura_sd","cresc.nfol_sd","cresc.LA_sd","cresc.biomassa_sd"
"15","16","8",0.0438095238095238,273.190476190476,1085478.44215271,56.2104762688095,0.387369025484436,820.595796909027,3136587.27906596,171.442644007583
"16","17","1",-0.116333333333333,1.83333333333333,12065.8633333333,0.678333333333333,0.357100230625302,24.6941055836147,162521.29260589,9.13681906593746
"17","18","2",0.1275,719.25,3116549.7235695,117.6143335695,0.257584937447825,1626.31269387559,6960629.81714586,264.283770872491
"18","19","16",0.127272727272727,342.954545454545,1341648.93929914,73.280751626,0.508959553245468,1376.07784515657,5262660.78401631,287.132074118382
"19","20","1",-0.0882142857142857,15.4285714285714,101541.291428571,5.70857142857143,0.44899107944144,51.6866832705797,340169.703543328,19.1240728101145
"20","21","1",0.202272727272727,19.0454545454545,22183.0027272727,2.41115454545455,0.290122007474061,28.1923280221297,32836.7321404953,3.56914872760162
"21","22","8",0.262083333333333,250.458333333333,830126.116925125,39.5836667115417,0.344824834759138,334.19038822161,1192515.18325495,63.4048269044012
"22","23","1",0.17625,9,79021.559997,5.442000003,0.239638865199879,10.7968249301092,94797.9943324148,6.52848014467167
"23","24","2",0.3068,214.12,647557.6288,21.04832,0.287078967068877,454.808505490681,972570.776074348,33.0382464308666
"24","25","16",0.128260869565217,157.782608695652,464237.76343,28.9050783541739,0.364213376194793,730.749425808983,3328307.07892916,153.486416147162
"25","26","1",0.434516129032258,1210.67741935484,4625990.34776848,252.628021908935,0.569285158244837,1004.23175901106,3837162.85596813,209.549694048386
"26","27","4",0.164782608695652,18.695652173913,79551.6611623043,5.2900289883913,0.292526138151749,24.6842511120841,127779.872050895,8.67492776073891
"27","28","8",0.352105263157895,207.052631578947,722340.046971684,38.7578246203158,0.359190122163248,353.717789846371,1306758.88414783,71.006419196761
"28","29","16",-0.0209090909090909,12.2727272727273,54021.0557612727,4.29479394254546,0.267299627588762,44.9890895864562,246866.868477123,13.5392411312145
"29","30","1",0.0753846153846154,3.84615384615385,35276.1538461538,2.48461538461538,0.18875095516824,12.1644711752858,111570.096725486,7.85824837923462
"30","31","1",0.1535,41.7,63502.7060139,3.9476000139,0.187315523283998,37.3040141765496,56808.2936544792,3.5314466878147
"31","32","4",0.304583333333333,330.416666666667,950895.688333333,36.14575,0.288111982556703,349.102067629495,816188.49658828,26.7145465816887
"32","33","2",0.0488,209.56,517533.5232,28.29416,0.225357493773782,331.020653937686,834306.978865371,46.4663018538525
"33","34","2",0.310869565217391,11.8260869565217,105112.136808739,7.28562319126087,0.234208784934962,14.7760622565783,130842.645920632,9.05336924521316
"34","36","2",0.0580769230769231,61.9615384615385,157036.5461745,8.03961538684615,0.193969466272797,97.3909567749412,259368.548189645,13.06019196586
"35","37","2",-0.0577272727272727,933.545454545455,1135789.53090909,58.6899090909091,0.293175257485572,1783.81767505412,2115828.56785587,110.211778099262
"36","38","1",0.332777777777778,575.055555555556,1250630.82222222,42.5541111111111,0.314190005374334,311.232553911668,676868.558247095,23.0312089894634
"37","39","16",0.13,355.52,1174513.93753916,60.58709607368,0.345434508988317,809.021380022391,2909292.55639519,159.061455669067
"38","40","4",0.298125,339,1294262.78885706,69.880437613,0.364279558545622,759.582440470399,2903626.20701285,158.845330291168
