plot,div,especie,sci_sp,abrev,comp
25,16,ipe,Handroanthus impetiginosus ,HandImp,ccc
25,16,joazeiro,Ziziphus joazeiro,ZizJoaz,ccc
25,16,ju_branca,Piptadenia stipulacea,PipStip,ccc
25,16,juca,Libidibia ferrea,LibFerr,ccc
25,16,ju_preta,Mimosa tenuiflora,MimTen,ccc
25,16,mofumbu,Combretum leprosum,CombLepr,ccc
25,16,mororo,Bauhinha cheilanta,BauChei,ccc
25,16,pereiro,Aspidospermum pyrifolium,AspPyri,ccc
29,16,algodao,Cochlospermum vitifolium,CochVit,ccc
29,16,angico,Anandenanthera colubrina,AnanCol,ccc
29,16,cating,Poincianella gardneriana,Poingard,ccc
29,16,cumaru,Amburana cearensis,AmbCear,ccc
29,16,feijao,Cynophala hastata,CynoHas,ccc
29,16,imbira,Pseudobombax marginatum,PseuMar,ccc
29,16,ipe,Handroanthus impetiginosus ,HandImp,ccc
29,16,ju_branca,Piptadenia stipulacea,PipStip,ccc
29,16,juca,Libidibia ferrea,LibFerr,ccc
29,16,mofumbu,Combretum leprosum,CombLepr,ccc
39,16,algodao,Cochlospermum vitifolium,CochVit,ccc
39,16,angico,Anandenanthera colubrina,AnanCol,ccc
39,16,burra,Sebastiania macrocarpa,SebMac,ccc
39,16,cating,Poincianella gardneriana,Poingard,ccc
39,16,cumaru,Amburana cearensis,AmbCear,ccc
39,16,feijao,Cynophala hastata,CynoHas,ccc
39,16,imbira,Pseudobombax marginatum,PseuMar,ccc
39,16,imburana,Commiphora leptophloeos,ComLepto,ccc
39,16,ipe,Handroanthus impetiginosus ,HandImp,ccc
39,16,joazeiro,Ziziphus joazeiro,ZizJoaz,ccc
39,16,ju_branca,Piptadenia stipulacea,PipStip,ccc
39,16,juca,Libidibia ferrea,LibFerr,ccc
39,16,ju_preta,Mimosa tenuiflora,MimTen,ccc
39,16,mofumbu,Combretum leprosum,CombLepr,ccc
39,16,mororo,Bauhinha cheilanta,BauChei,ccc
39,16,pereiro,Aspidospermum pyrifolium,AspPyri,ccc
50,16,algodao,Cochlospermum vitifolium,CochVit,ccc
50,16,angico,Anandenanthera colubrina,AnanCol,ccc
50,16,burra,Sebastiania macrocarpa,SebMac,ccc
50,16,cating,Poincianella gardneriana,Poingard,ccc
50,16,cumaru,Amburana cearensis,AmbCear,ccc
50,16,feijao,Cynophala hastata,CynoHas,ccc
50,16,imbira,Pseudobombax marginatum,PseuMar,ccc
50,16,imburana,Commiphora leptophloeos,ComLepto,ccc
50,16,ipe,Handroanthus impetiginosus ,HandImp,ccc
50,16,joazeiro,Ziziphus joazeiro,ZizJoaz,ccc
50,16,ju_branca,Piptadenia stipulacea,PipStip,ccc
50,16,juca,Libidibia ferrea,LibFerr,ccc
