plot,div,especie,sci_sp,abrev,comp
76,4,imburana,Commiphora leptophloeos,ComLepto,aah
76,4,ipe,Handroanthus impetiginosus ,HandImp,aah
76,4,ju_preta,Mimosa tenuiflora,MimTen,aah
76,4,pereiro,Aspidospermum pyrifolium,AspPyri,aah
80,4,imburana,Commiphora leptophloeos,ComLepto,aah
80,4,ipe,Handroanthus impetiginosus ,HandImp,aah
80,4,ju_preta,Mimosa tenuiflora,MimTen,aah
80,4,pereiro,Aspidospermum pyrifolium,AspPyri,aah
81,4,burra,Sebastiania macrocarpa,SebMac,aae
81,4,cumaru,Amburana cearensis,AmbCear,aae
81,4,juca,Libidibia ferrea,LibFerr,aae
81,4,mofumbu,Combretum leprosum,CombLepr,aae
