"","id.sci","id","rep","idade","altura_aerea_cm","comp_raiz_cm","f_pesofresco","f_pesofresco_peciolo","f_pesofresco_sla","f_pesofresco_peciolo_SLA","t_pesofresco","t_pesofresco_vol","t_pesofresco_casca_vol","t_volume","r_presofresco","r_pesofrescoSRL_sup","pesofresco_SRL_inf","r_pesofresco_vol","r_pesofresco_casca_vol","r_volume","r_pesofresco_bioq","r_reserva","t_pesoseco","r_pesoseco","t_pesoseco_casca_vol","t_pesoseco_vol","r_pesoseco_casca_vol","r_pesoseco_vol","t_pesoenxarcado_casca_vol","t_pesoenxarcado_vol","r_pesoenxarcado_casca_vol","r_pesoenxarcado_vol","f_pesoseco","f_pesoseco_peciolo","f_pesoseco_sla","f_pesoseco_peciolo_SLA","r_pesosecoSRL_sup","pesoseco_SRL_inf","f_areaumida","f_areaumida_pec","r_areaumidasup","f_peso_fresco","f_fresco_peciolo","f_fresco_total","f_peso_seco","f_biomassa","f_seco_peciolo","f_seco_total","SLA","LA","t_peso_fresco","t_peso_seco","t_capac_arm_casca","t_capac_arm_lenho","t_dens","r_peso_fresco","r_peso_seco","r_capac_arm_casca","r_capac_arm_lenho","r_dens","SRA"
"47","S.mac","burra",2,"6months",102,89,39.6,0.85,0.61,0,42.96,1.98,0.97,1.94,52.1,2.19,1.9,1.16,0.6,1.09,1.02,"n",20.54,19.51,0.276,1.223,0.1107,0.6096,1.04,2.19,0.6019,1.194,12.31,0.19,0.21,0,0.23,0.5,22.424,NA,60.24,40.21,0.85,41.06,12.52,0.07,0.19,12.71,10.6780952380952,747.466666666667,45.91,22.039,2.76811594202899,0.790678659035159,0.630412371134021,58.97,20.9603,4.43721770551039,0.958661417322834,0.559266055045872,26.1913043478261
"48","S.mac","burra",3,"6months",120,94,39.44,1.08,0.57,0,48.27,1.62,1.1,1.54,64.51,1.76,1.28,0.81,0.59,0.78,1.84,"n",23.02,22.58,0.295,0.984,0.1414,0.475,1.22,1.81,0.5726,0.923,11.45,0.41,0.1,0,0.52,0.24,28.367,NA,121,40.01,1.08,41.09,11.55,0.0333333333333333,0.41,11.96,28.367,945.566666666667,50.99,24.299,3.13559322033898,0.839430894308943,0.638961038961039,70.79,23.9564,3.04950495049505,0.943157894736842,0.608974358974359,23.2692307692308
"49","S.mac","burra",4,"6months",81,102.5,13.39,0.27,0.59,0,13.97,0.65,0.52,0.59,22.81,0.91,1.39,0.68,0.46,0.64,1.13,"n",6.37,7.95,0.131,0.395,0.1062,0.4053,0.57,0.73,0.452,1.7818,3.45,0,0.16,0,0.32,0.15,32.787,NA,43.372,13.98,0.27,14.25,3.61,0.0533333333333333,0,3.61,20.491875,1092.9,15.14,6.896,3.35114503816794,0.848101265822785,0.669491525423729,27.38,8.9315,3.25612052730697,3.39624969158648,0.63328125,13.55375
"50","S.mac","burra",5,"6months",81,100,27.69,0.7,0.85,0.03,20.04,0.93,0.63,0.88,53.78,0.91,1.47,1.68,1,1.63,1.25,"n",8.54,12.79,0.143,0.567,0.2075,1.0027,0.76,1.02,0.9097,1.2,7.54,0.21,0.21,0,0.32,0.18,46.6,NA,34.59,28.54,0.73,29.27,7.75,0.07,0.21,7.96,22.1904761904762,1553.33333333333,21.6,9.25,4.31468531468532,0.798941798941799,0.644318181818182,60.09,14.5002,3.38409638554217,0.196768724444001,0.615153374233129,10.809375
"51","A.pyr","pereiro",1,"6months",50,90,11.95,0.36,1.26,0.06,14.86,0.43,2.17,0.37,19.1,0.56,0.97,0.51,0.48,0.46,1.25,"n",5.47,5.51,0.493,0.293,0.062,0.182,2.15,0.45,0.3351,0.38,3.59,0.11,0.34,0.01,0.1,0.09,57.786,NA,34.773,13.21,0.42,13.63,3.93,0.113333333333333,0.12,4.05,16.9958823529412,1926.2,17.46,6.256,3.36105476673428,0.535836177474403,0.791891891891892,22.87,5.944,4.40483870967742,1.08791208791209,0.395652173913043,34.773
"52","A.pyr","pereiro",2,"6months",47,90.5,3.97,0.18,0.74,0.04,15.62,0.47,2.1,0.32,9.48,0.67,0.74,0.11,0.57,0.09,1.4,"n",5.84,2.59,0.503,0.275,0.086,0.075,1.81,0.45,0.3934,0.1236,1.21,0.05,0.21,0.01,0.16,0.09,36.505,NA,37.074,4.71,0.22,4.93,1.42,0.07,0.06,1.48,17.3833333333333,1216.83333333333,18.19,6.618,2.59840954274354,0.636363636363636,0.859375,12.97,3.001,3.57441860465116,0.648,0.833333333333333,23.17125
"53","A.pyr","pereiro",3,"6months",45,98,6.38,0.2,1.06,0.03,16.85,0.54,3.02,0.4,15.54,1.32,0.96,0.29,1.02,0.22,1.47,"n",6.64,3.81,0.832,0.344,0.232,0.171,2.5,0.53,0.8035,0.2858,1.87,0.03,0.31,0.01,0.34,0.1,42.438,NA,47.748,7.44,0.23,7.67,2.18,0.103333333333333,0.04,2.22,13.6896774193548,1414.6,20.41,7.816,2.00480769230769,0.540697674418605,0.86,20.6,4.653,2.46336206896552,0.671345029239766,0.777272727272727,14.0435294117647
"54","A.pyr","pereiro",4,"6months",64,86,14.7,0.59,1.22,0.04,26.32,0.85,2.08,0.67,23.25,1.15,1.22,0.16,0.34,0.13,1.72,"n",10.44,6.33,0.469,0.544,0.062,0.095,1.62,0.85,0.3176,0.1614,4.45,0.11,0.32,0.01,0.27,0.13,50.006,NA,74.481,15.92,0.63,16.55,4.77,0.106666666666667,0.12,4.89,15.626875,1666.86666666667,29.25,11.453,2.45415778251599,0.5625,0.811940298507463,27.84,6.887,4.12258064516129,0.698947368421053,0.730769230769231,27.5855555555556
"55","A.pyr","pereiro",5,"6months",48.5,102,15.96,0.53,0.96,0.05,23.34,0.73,2.27,0.59,36.12,1.02,1.18,0.17,1.12,0.14,1.6,"n",9.25,7.94,0.665,0.464,0.206,0.109,2.29,0.72,0.8536,0.1754,4.34,0.12,0.24,0.01,0.23,0.12,41.692,NA,49.032,16.92,0.58,17.5,4.58,0.08,0.13,4.71,17.3716666666667,1389.73333333333,26.34,10.379,2.44360902255639,0.551724137931034,0.786440677966102,41.21,8.605,3.14368932038835,0.609174311926606,0.778571428571428,21.3182608695652
"56","Z.joa","joazeiro ",1,"6months",56,74.5,8.33,0,0.54,0,17.15,1.39,0.57,1.17,19.67,0.71,2.18,0.75,0.3,0.61,1.11,"n",8.4,8.47,0.12,0.718,0.093,0.332,0.58,1.37,0.2571,0.7066,3.12,0,0.2,0,0.34,0.16,78.862,NA,43.34,8.87,0,8.87,3.32,0.0666666666666667,0,3.32,39.431,2628.73333333333,19.11,9.238,3.83333333333333,0.90807799442897,0.613675213675214,24.72,9.395,1.76451612903226,1.12831325301205,0.544262295081967,12.7470588235294
"57","Z.joa","joazeiro ",2,"6months",46,105,16.2,0,0.73,0,13.8,1.15,0.27,0.97,26.13,0.72,0.51,0.94,0.43,0.84,1.05,"n",7.05,7.87,0.053,0.545,0.101,0.395,0.3,1.06,0.4084,0.8753,5.53,0,0.25,0,0.23,0.21,67.906,NA,23.63,16.93,0,16.93,5.78,0.0833333333333333,0,5.78,27.1624,2263.53333333333,15.22,7.648,4.66037735849057,0.944954128440367,0.561855670103093,29.78,8.806,3.04356435643564,1.21594936708861,0.470238095238095,10.2739130434783
"58","Z.joa","joazeiro ",3,"6months",52,104,13.32,0,0.63,0,12.1,1.05,0.47,0.9,8.64,1.24,1.97,0.87,0.24,0.79,1.23,"n",6.23,3.15,0.082,0.487,0.061,0.348,0.34,0.97,0.2114,0.8372,4.65,0,0.22,0,0.19,0.22,57.11,NA,48.02,13.95,0,13.95,4.87,0.0733333333333333,0,4.87,25.9590909090909,1903.66666666667,13.62,6.799,3.14634146341463,0.991786447638604,0.541111111111111,14.19,3.969,2.4655737704918,1.40574712643678,0.440506329113924,25.2736842105263
"59","Z.joa","joazeiro ",4,"6months",62,102,16.04,0,0.48,0,15.36,1.03,0.62,0.9,31.21,0.6,1.81,0.48,0.37,0.43,1.51,"n",7.46,8.08,0.121,0.526,0.084,0.22,0.75,1.08,0.3652,0.4806,5.4,0,0.18,0,0.22,0.17,61.683,NA,29.05,16.52,0,16.52,5.58,0.06,0,5.58,34.2683333333333,2056.1,17.01,8.107,5.19834710743802,1.0532319391635,0.584444444444444,35.98,8.774,3.34761904761905,1.18454545454545,0.511627906976744,13.2045454545455
"60","Z.joa","joazeiro ",5,"6months",92,93,25.02,0,0.73,0,32.67,2.11,0.69,1.96,22.91,0.32,1.32,0.87,0.36,0.82,1.07,"n",16.37,9.08,0.147,1.042,0.067,0.398,0.73,2.09,0.3553,0.8473,8.73,0,0.26,0,0.14,0.16,60.659,NA,55.049,25.75,0,25.75,8.99,0.0866666666666667,0,8.99,23.3303846153846,2021.96666666667,35.47,17.559,3.96598639455782,1.00575815738964,0.531632653061225,26.85,9.845,4.30298507462687,1.12889447236181,0.485365853658537,39.3207142857143
"61","A.col","angico",1,"6months",105,102.5,13.44,0.41,1.85,0.05,17.45,0.75,0.24,0.62,70.24,1.06,1.3,0.09,0.68,0.06,1.77,"n",9.96,27.57,0.098,0.511,0.1928,0.05,0.26,0.81,0.5795,0.0916,6.45,0.19,0.87,0.02,0.35,0.26,182.171,NA,52.202,15.29,0.46,15.75,7.32,0.29,0.21,7.53,20.9391954022989,6072.36666666667,18.44,10.569,1.6530612244898,0.585127201565558,0.824193548387097,75.14,28.4228,2.00570539419087,0.832,0.833333333333333,14.9148571428571
"62","A.col","angico",2,"6months",146,130,21.89,1.04,2.69,0.12,29.63,1.37,0.46,1.12,104.29,0.71,1.82,0.1,1.12,0.05,1.77,"n",17.31,42.56,0.172,0.924,0.3849,0.0508,0.5,1.43,0.9385,0.0846,10.85,0.49,1.24,0.05,0.29,0.57,239.564,NA,70.241,24.58,1.16,25.74,12.09,0.413333333333333,0.54,12.63,19.3196774193548,7985.46666666667,31.46,18.406,1.90697674418605,0.547619047619047,0.825,109.81,43.8557,1.4382956612107,0.665354330708661,1.016,24.2210344827586
"63","A.col","angico",3,"6months",183,106.5,21.19,0.9,1.91,0.1,46.61,1.98,0.56,1.66,109,0.92,1.11,0.23,2.3,0.17,1.48,"n",29.09,46.66,0.219,1.26,0.692,0.1189,0.58,2.11,2.0022,0.199,10.86,0.4,0.93,0.05,0.39,0.42,168.428,NA,66.731,23.1,1,24.1,11.79,0.31,0.45,12.24,18.1105376344086,5614.26666666667,49.15,30.569,1.64840182648402,0.674603174603175,0.759036144578313,115.04,48.2809,1.89335260115607,0.67367535744323,0.699411764705882,17.1105128205128
"64","A.col","angico",4,"6months",133,105,15.65,0.6,2,0.04,21.72,1.05,0.37,0.89,77.53,0.71,0.93,0.3,3.07,0.23,1.68,"n",13.38,32.71,0.146,0.72,0.9179,0.1812,0.42,1.14,2.6496,0.2903,8.4,0.28,0.99,0.03,0.32,0.33,181.307,NA,85.147,17.65,0.64,18.29,9.39,0.33,0.31,9.7,18.3138383838384,6043.56666666667,23.14,14.246,1.87671232876712,0.583333333333333,0.808988764044944,84.22,34.4591,1.88658895304499,0.602097130242826,0.787826086956522,26.6084375
