plot,div,cresc.altura,cresc.nfol,cresc.biomassa
125,8,0.212618139093934,2.96913703140553,2.96913703140553
126,1,-0.04989512788255,0.133320744036382,0.133320744036382
127,4,0.308891458951435,1.01069687244816,1.01069687244816
128,1,0.713299780501668,0.391393038375304,0.391393038375304
129,1,-0.087161104742642,0.915008402250623,0.915008402250623
130,16,0.213092240182427,0.211159049798207,0.211159049798207
131,2,0.836953767563753,8.20044576564189,8.20044576564189
132,4,1.16659878642272,0.568869473538318,0.568869473538318
133,2,3.99828394881526,4.34404139977669,4.34404139977669
134,1,0.288547568118226,0.825697208192564,0.825697208192564
135,4,0.274991879928973,1.06599731309446,1.06599731309446
136,8,0.592019887041584,0.450018900595722,0.450018900595722
137,4,-0.132957065804351,-0.004789366054382,-0.004789366054382
138,4,0.088261366703608,0.526788997482715,0.526788997482715
139,2,-0.08581413187641,0.116396429476764,0.116396429476764
140,1,1.20451943178976,6.86318767272448,6.86318767272448
141,2,0.172505281398422,0.161345227538192,0.161345227538192
142,2,0.752976525406612,1.5201598032623,1.5201598032623
143,2,-0.012388904338569,0.250909874887757,0.250909874887757
144,1,0.23343223006676,11.3689118487692,11.3689118487692
145,2,-0.024426704145269,1.08839285714286,1.08839285714286
146,4,-0.100357038170461,0.45499891974558,0.45499891974558
147,1,0.362867314903352,-0.2243905928675,-0.2243905928675
149,16,0.02813183028072,0.341933379412371,0.341933379412371
150,2,0.198157974895213,0.682572904157566,0.682572904157566
151,8,0.101914265855245,0.809161648490751,0.809161648490751
152,1,-0.068987557262597,-0.201786306352083,-0.201786306352083
153,16,0.362009813952348,0.35263798744754,0.35263798744754
154,1,0.140292243947243,-0.065780255405753,-0.065780255405753
155,2,0.008538780686753,0.206750210226081,0.206750210226081
