Bloco,target,ontogenia,rii_alt,imp_alt,rii_folha,imp_folha
5,poi_pyr,juvenil,-0.01408,0.03226,-0.11111,0.00503
6,ziz_joa,juvenil,-0.01460,0.12500,0.38667,0.00000
6,poi_pyr,juvenil,-1.00000,0.53769,-1.00000,0.02463
7,ziz_joa,juvenil,-0.03072,0.69231,-0.01538,0.00699
7,poi_pyr,juvenil,1.00000,0.57732,1.00000,0.02463
1,ziz_joa,plantula,0.07591,0.17829,0.21622,0.08889
1,poi_pyr,plantula,0.04036,0.04306,0.33333,0.01653
2,ziz_joa,plantula,-1.00000,-0.46939,-1.00000,0.04098
2,poi_pyr,plantula,1.00000,0.35423,1.00000,0.02008
3,ziz_joa,plantula,0.02817,0.05405,0.78125,0.26316
3,poi_pyr,plantula,-0.00444,-0.00483,0.11111,0.00408
4,ziz_joa,plantula,-0.00694,-0.01389,0.33333,0.00398
4,poi_pyr,plantula,1.00000,0.35000,1.00000,0.02419
5,ziz_joa,plantula,0.00000,0.00000,0.61290,0.19792
5,poi_pyr,plantula,-0.00465,-0.00461,-0.14286,0.00405
6,ziz_joa,plantula,-0.02256,-0.03614,0.60784,0.40789
6,poi_pyr,plantula,-1.00000,-0.32923,-1.00000,0.01600
7,ziz_joa,plantula,-0.08511,-0.16000,0.25000,0.04673
7,poi_pyr,plantula,1.00000,0.35000,1.00000,0.02008
1,ziz_joa,juvenil,0.07591,0.17829,0.21622,0.08889
1,poi_pyr,juvenil,0.04036,0.04306,0.33333,0.01653
2,ziz_joa,juvenil,-1.00000,0.46939,-1.00000,0.04098
2,poi_pyr,juvenil,1.00000,0.35423,1.00000,0.02008
3,ziz_joa,juvenil,0.02817,0.05405,0.78125,0.26316
3,poi_pyr,juvenil,-0.00444,0.00483,0.11111,0.00408
4,ziz_joa,juvenil,-0.00694,0.01389,0.33333,0.00398
4,poi_pyr,juvenil,1.00000,0.35000,1.00000,0.02419
5,ziz_joa,juvenil,0.00000,0.00000,0.61290,0.19792
5,poi_pyr,juvenil,-0.00465,0.00461,-0.14286,0.00405
6,ziz_joa,juvenil,-0.02256,0.03614,0.60784,0.40789
6,poi_pyr,juvenil,-1.00000,0.32923,-1.00000,0.01600
7,ziz_joa,juvenil,-0.08511,0.16000,0.25000,0.04673
7,poi_pyr,juvenil,1.00000,0.35000,1.00000,0.02008
